,employees0,employees1,employees2,employees3,employees4,employees5,employees6,employees7,employees8,employees9,employees10,employees11,employees12,employees13,employees14,employees15,employees16,employees17,employees18,employees19
2021-08-01,休暇,明け,遅番,休暇,夜勤,早番,明け,夜勤,早番,休暇,明け,明け,明け,夜勤,夜勤,夜勤,夜勤,遅番,夜勤,休暇
2021-08-02,遅番,休暇,夜勤,早番,明け,夜勤,休暇,明け,夜勤,遅番,休暇,休暇,休暇,明け,明け,明け,明け,夜勤,明け,早番
2021-08-03,夜勤,早番,明け,夜勤,休暇,明け,早番,休暇,明け,夜勤,遅番,遅番,早番,休暇,休暇,休暇,休暇,明け,休暇,夜勤
2021-08-04,明け,夜勤,休暇,明け,遅番,休暇,夜勤,早番,休暇,明け,夜勤,夜勤,夜勤,早番,早番,遅番,遅番,休暇,早番,明け
2021-08-05,休暇,明け,早番,休暇,夜勤,遅番,明け,夜勤,遅番,休暇,明け,明け,明け,夜勤,夜勤,夜勤,夜勤,早番,夜勤,休暇
2021-08-06,早番,休暇,夜勤,遅番,明け,夜勤,休暇,明け,夜勤,遅番,休暇,休暇,休暇,明け,明け,明け,明け,夜勤,明け,早番
2021-08-07,夜勤,遅番,明け,夜勤,休暇,明け,早番,休暇,明け,夜勤,遅番,早番,遅番,休暇,休暇,休暇,休暇,明け,休暇,夜勤
2021-08-08,明け,夜勤,休暇,明け,遅番,休暇,夜勤,遅番,休暇,明け,夜勤,夜勤,夜勤,遅番,遅番,遅番,早番,休暇,早番,明け
2021-08-09,休暇,明け,早番,休暇,夜勤,早番,明け,夜勤,遅番,休暇,明け,明け,明け,夜勤,夜勤,夜勤,夜勤,遅番,夜勤,休暇
2021-08-10,遅番,休暇,夜勤,早番,明け,夜勤,休暇,明け,夜勤,遅番,休暇,休暇,休暇,明け,明け,明け,明け,夜勤,明け,早番
2021-08-11,夜勤,遅番,明け,夜勤,休暇,明け,早番,休暇,明け,夜勤,遅番,遅番,早番,休暇,休暇,休暇,休暇,明け,休暇,夜勤
2021-08-12,明け,夜勤,休暇,明け,早番,休暇,夜勤,遅番,休暇,明け,夜勤,夜勤,夜勤,早番,遅番,遅番,遅番,休暇,遅番,明け
2021-08-13,休暇,明け,早番,休暇,夜勤,早番,明け,夜勤,遅番,休暇,明け,明け,明け,夜勤,夜勤,夜勤,夜勤,遅番,夜勤,休暇
2021-08-14,遅番,休暇,夜勤,早番,明け,夜勤,休暇,明け,夜勤,遅番,休暇,休暇,休暇,明け,明け,明け,明け,夜勤,明け,早番
2021-08-15,夜勤,早番,明け,夜勤,休暇,明け,遅番,休暇,明け,夜勤,早番,早番,遅番,休暇,休暇,休暇,休暇,明け,休暇,夜勤
2021-08-16,明け,夜勤,休暇,明け,遅番,休暇,夜勤,遅番,休暇,明け,夜勤,夜勤,夜勤,早番,早番,早番,遅番,休暇,遅番,明け
2021-08-17,休暇,明け,早番,休暇,夜勤,遅番,明け,夜勤,早番,休暇,明け,明け,明け,夜勤,夜勤,夜勤,夜勤,遅番,夜勤,休暇
2021-08-18,早番,休暇,夜勤,遅番,明け,夜勤,休暇,明け,夜勤,遅番,休暇,休暇,休暇,明け,明け,明け,明け,夜勤,明け,早番
2021-08-19,夜勤,早番,明け,夜勤,休暇,明け,早番,休暇,明け,夜勤,早番,遅番,遅番,休暇,休暇,休暇,休暇,明け,休暇,夜勤
2021-08-20,明け,夜勤,休暇,明け,早番,休暇,夜勤,早番,休暇,明け,夜勤,夜勤,夜勤,遅番,遅番,遅番,早番,休暇,早番,明け
2021-08-21,休暇,明け,早番,休暇,夜勤,早番,明け,夜勤,遅番,休暇,明け,明け,明け,夜勤,夜勤,夜勤,夜勤,遅番,夜勤,休暇
2021-08-22,遅番,休暇,夜勤,遅番,明け,夜勤,休暇,明け,夜勤,早番,休暇,休暇,休暇,明け,明け,明け,明け,夜勤,明け,早番
2021-08-23,夜勤,遅番,明け,夜勤,休暇,明け,早番,休暇,明け,夜勤,遅番,早番,早番,休暇,休暇,休暇,休暇,明け,休暇,夜勤
2021-08-24,明け,夜勤,休暇,明け,遅番,休暇,夜勤,早番,休暇,明け,夜勤,夜勤,夜勤,遅番,遅番,早番,遅番,休暇,遅番,明け
2021-08-25,休暇,明け,早番,休暇,夜勤,早番,明け,夜勤,遅番,休暇,明け,明け,明け,夜勤,夜勤,夜勤,夜勤,遅番,夜勤,休暇
2021-08-26,遅番,休暇,夜勤,早番,明け,夜勤,休暇,明け,夜勤,遅番,休暇,休暇,休暇,明け,明け,明け,明け,夜勤,明け,早番
2021-08-27,夜勤,早番,明け,夜勤,休暇,明け,遅番,休暇,明け,夜勤,早番,遅番,早番,休暇,休暇,休暇,休暇,明け,休暇,夜勤
2021-08-28,明け,夜勤,休暇,明け,遅番,休暇,夜勤,早番,休暇,明け,夜勤,夜勤,夜勤,早番,早番,早番,遅番,休暇,遅番,明け
2021-08-29,休暇,明け,早番,休暇,夜勤,遅番,明け,夜勤,遅番,休暇,明け,明け,明け,夜勤,夜勤,夜勤,夜勤,早番,夜勤,休暇
2021-08-30,早番,休暇,夜勤,遅番,明け,夜勤,休暇,明け,夜勤,早番,休暇,休暇,休暇,明け,明け,明け,明け,夜勤,明け,遅番
2021-08-31,夜勤,遅番,明け,夜勤,休暇,明け,遅番,休暇,明け,夜勤,遅番,早番,早番,休暇,休暇,休暇,休暇,明け,休暇,夜勤
